user_id,movie_id,movie_title,genre,language,release_year,duration_min,director,user_review,rating,sentiment,watch_time_min,recommend
1,128,Avatar,Comedy,English,2016,174,Martin Scorsese,"Movie was okay, nothing special",4,Neutral,92,1
2,111,Joker,Drama,French,2014,83,Martin Scorsese,"Fantastic experience, would watch again",4,Positive,37,1
3,175,Interstellar,Action,Hindi,2017,134,Steven Spielberg,"Fantastic experience, would watch again",4,Positive,144,1
4,111,Avengers,Action,Korean,2022,124,Martin Scorsese,Loved the acting and direction,5,Positive,56,1
5,115,Avengers,Action,French,2004,160,Martin Scorsese,Amazing movie with great visuals and storyline,5,Positive,167,1
6,105,Joker,Romance,English,2022,109,Christopher Nolan,"Waste of time, disappointing movie",1,Negative,47,0
7,147,The Dark Knight,Drama,Korean,2017,167,Christopher Nolan,"Fantastic experience, would watch again",5,Positive,71,1
8,159,Avengers,Romance,French,2002,167,Steven Spielberg,Average storyline but decent acting,4,Neutral,71,0
9,140,Avengers,Romance,English,2001,152,Steven Spielberg,Very boring and predictable plot,1,Negative,38,0
10,118,Interstellar,Drama,Hindi,2018,151,Martin Scorsese,"Fantastic experience, would watch again",5,Positive,147,1
11,128,Avatar,Thriller,Spanish,1997,176,Christopher Nolan,"Fantastic experience, would watch again",5,Positive,122,1
12,176,Titanic,Sci-Fi,Spanish,2014,139,Martin Scorsese,Poor acting and weak storyline,1,Negative,138,0
13,196,Interstellar,Comedy,Korean,1998,117,Quentin Tarantino,Amazing movie with great visuals and storyline,4,Positive,167,1
14,197,Avatar,Thriller,English,2022,160,Steven Spielberg,Amazing movie with great visuals and storyline,5,Positive,158,1
15,197,Avatar,Thriller,French,2024,80,Martin Scorsese,Poor acting and weak storyline,1,Negative,125,0
16,139,Joker,Action,Hindi,2023,152,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,122,1
17,198,Avatar,Drama,Spanish,2012,101,Steven Spielberg,"Fantastic experience, would watch again",4,Positive,166,1
18,151,The Dark Knight,Sci-Fi,French,2009,95,James Cameron,Not bad but could be better,2,Neutral,109,0
19,170,Joker,Thriller,Hindi,1995,89,Christopher Nolan,"Outstanding movie, highly recommended",4,Positive,180,1
20,165,Joker,Romance,Spanish,2001,149,James Cameron,Amazing movie with great visuals and storyline,5,Positive,48,1
21,124,Titanic,Action,Spanish,2006,134,Quentin Tarantino,Not bad but could be better,2,Neutral,134,1
22,151,The Dark Knight,Action,Hindi,2001,104,Martin Scorsese,Amazing movie with great visuals and storyline,4,Positive,45,1
23,159,Joker,Action,Spanish,2020,150,Christopher Nolan,"Fantastic experience, would watch again",4,Positive,101,1
24,121,Avengers,Sci-Fi,Spanish,2001,131,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,90,1
25,200,Parasite,Romance,Spanish,2017,173,Martin Scorsese,Amazing movie with great visuals and storyline,5,Positive,97,1
26,127,Inception,Thriller,French,1996,175,Steven Spielberg,Not bad but could be better,2,Neutral,105,0
27,165,Titanic,Drama,English,2014,88,James Cameron,"Fantastic experience, would watch again",4,Positive,44,1
28,153,Gladiator,Thriller,French,2005,113,James Cameron,Loved the acting and direction,4,Positive,50,1
29,116,Interstellar,Sci-Fi,Korean,2024,176,Christopher Nolan,Good movie for one time watch,2,Neutral,131,1
30,127,Forrest Gump,Romance,Hindi,2024,124,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,167,1
31,156,Forrest Gump,Comedy,Korean,2014,163,Martin Scorsese,"Waste of time, disappointing movie",2,Negative,70,0
32,133,Titanic,Action,French,1999,114,Steven Spielberg,"Outstanding movie, highly recommended",4,Positive,64,1
33,162,Interstellar,Action,English,2015,134,Steven Spielberg,Good movie for one time watch,2,Neutral,159,1
34,120,Parasite,Thriller,Spanish,2012,81,Christopher Nolan,"Outstanding movie, highly recommended",4,Positive,97,1
35,174,Forrest Gump,Drama,Spanish,1999,85,Steven Spielberg,Loved the acting and direction,4,Positive,124,1
36,187,Joker,Comedy,English,2006,179,Martin Scorsese,Amazing movie with great visuals and storyline,5,Positive,83,1
37,120,Avatar,Sci-Fi,English,2000,174,Steven Spielberg,Did not enjoy the movie at all,1,Negative,90,0
38,120,Titanic,Sci-Fi,English,2022,140,James Cameron,Not bad but could be better,4,Neutral,98,0
39,129,Joker,Action,Hindi,2007,122,Steven Spielberg,"Fantastic experience, would watch again",5,Positive,108,1
40,151,Forrest Gump,Romance,English,1998,113,James Cameron,"Waste of time, disappointing movie",2,Negative,160,0
41,144,The Dark Knight,Sci-Fi,French,2011,94,Quentin Tarantino,Good movie for one time watch,2,Neutral,141,0
42,190,Avengers,Action,French,2024,148,James Cameron,Poor acting and weak storyline,2,Negative,41,0
43,184,Titanic,Comedy,Korean,2011,119,Quentin Tarantino,Amazing movie with great visuals and storyline,5,Positive,110,1
44,153,Avengers,Comedy,Hindi,2014,152,Steven Spielberg,"Outstanding movie, highly recommended",4,Positive,79,1
45,126,Avengers,Thriller,French,2015,121,Quentin Tarantino,Amazing movie with great visuals and storyline,5,Positive,103,1
46,184,Titanic,Romance,French,2016,161,Martin Scorsese,Loved the acting and direction,5,Positive,73,1
47,125,Avatar,Action,English,2002,140,Martin Scorsese,Loved the acting and direction,5,Positive,87,1
48,180,Gladiator,Drama,Spanish,2010,131,James Cameron,Very boring and predictable plot,2,Negative,136,0
49,128,Avatar,Comedy,French,2009,86,Martin Scorsese,Amazing movie with great visuals and storyline,4,Positive,138,1
50,159,Forrest Gump,Thriller,French,2005,176,Quentin Tarantino,Amazing movie with great visuals and storyline,5,Positive,64,1
51,195,Parasite,Sci-Fi,Korean,2019,111,Steven Spielberg,Not bad but could be better,4,Neutral,70,1
52,156,Titanic,Comedy,Korean,2002,114,Steven Spielberg,Not bad but could be better,4,Neutral,100,0
53,129,Avengers,Comedy,Hindi,2017,107,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,68,1
54,107,Joker,Sci-Fi,Spanish,2023,178,Martin Scorsese,"Outstanding movie, highly recommended",5,Positive,136,1
55,100,The Dark Knight,Romance,Spanish,2022,133,Martin Scorsese,Very boring and predictable plot,2,Negative,152,0
56,155,Parasite,Action,Spanish,2005,165,Quentin Tarantino,Average storyline but decent acting,3,Neutral,99,0
57,175,Gladiator,Comedy,English,1997,162,Quentin Tarantino,Not bad but could be better,2,Neutral,130,0
58,133,Avengers,Romance,Hindi,2009,121,Steven Spielberg,"Fantastic experience, would watch again",4,Positive,42,1
59,110,Parasite,Action,French,1996,124,James Cameron,Not bad but could be better,3,Neutral,94,1
60,102,Gladiator,Drama,Hindi,1999,140,Christopher Nolan,"Movie was okay, nothing special",2,Neutral,81,0
61,121,Gladiator,Thriller,English,2019,100,Steven Spielberg,Average storyline but decent acting,3,Neutral,124,1
62,186,Avengers,Sci-Fi,Hindi,1997,155,James Cameron,Amazing movie with great visuals and storyline,5,Positive,177,1
63,200,Inception,Romance,French,2008,164,Steven Spielberg,"Outstanding movie, highly recommended",4,Positive,174,1
64,162,Titanic,Sci-Fi,Korean,2015,138,James Cameron,"Outstanding movie, highly recommended",4,Positive,137,1
65,155,Gladiator,Romance,Korean,2022,111,Christopher Nolan,"Outstanding movie, highly recommended",5,Positive,149,1
66,172,Gladiator,Comedy,Spanish,2005,83,Quentin Tarantino,"Fantastic experience, would watch again",4,Positive,148,1
67,145,Interstellar,Romance,Korean,2023,156,Steven Spielberg,Poor acting and weak storyline,2,Negative,84,0
68,162,Forrest Gump,Drama,Spanish,2015,171,Quentin Tarantino,Average storyline but decent acting,2,Neutral,134,0
69,128,Avengers,Comedy,Hindi,2004,164,Martin Scorsese,Amazing movie with great visuals and storyline,4,Positive,105,1
70,142,The Dark Knight,Comedy,Spanish,2003,119,Steven Spielberg,"Outstanding movie, highly recommended",5,Positive,170,1
71,195,Forrest Gump,Comedy,Hindi,2001,107,Quentin Tarantino,Loved the acting and direction,5,Positive,60,1
72,137,Joker,Romance,Hindi,2004,81,Martin Scorsese,"Outstanding movie, highly recommended",4,Positive,79,1
73,137,Avatar,Comedy,Spanish,1998,81,Martin Scorsese,Amazing movie with great visuals and storyline,4,Positive,171,1
74,123,Inception,Romance,Spanish,1998,88,Quentin Tarantino,"Fantastic experience, would watch again",5,Positive,117,1
75,172,Interstellar,Action,Hindi,1998,151,Quentin Tarantino,Amazing movie with great visuals and storyline,4,Positive,68,1
76,156,Interstellar,Thriller,Spanish,2004,152,Martin Scorsese,Average storyline but decent acting,4,Neutral,145,1
77,133,Titanic,Drama,Hindi,2000,150,Christopher Nolan,Amazing movie with great visuals and storyline,4,Positive,84,1
78,137,Inception,Drama,Korean,2017,116,Quentin Tarantino,"Fantastic experience, would watch again",5,Positive,150,1
79,184,Joker,Sci-Fi,English,2012,108,James Cameron,Loved the acting and direction,5,Positive,180,1
80,121,Interstellar,Thriller,French,2024,116,Quentin Tarantino,Poor acting and weak storyline,1,Negative,45,0
81,164,Forrest Gump,Sci-Fi,Spanish,1997,156,Christopher Nolan,"Outstanding movie, highly recommended",5,Positive,99,1
82,111,Joker,Comedy,French,2013,82,Steven Spielberg,"Waste of time, disappointing movie",2,Negative,36,0
83,123,Gladiator,Sci-Fi,Spanish,1997,140,Steven Spielberg,Average storyline but decent acting,3,Neutral,101,1
84,142,Avengers,Comedy,Spanish,2004,164,Quentin Tarantino,"Outstanding movie, highly recommended",4,Positive,71,1
85,140,Interstellar,Romance,English,2019,131,Martin Scorsese,Very boring and predictable plot,2,Negative,52,0
86,106,Joker,Thriller,Korean,2014,176,Quentin Tarantino,Very boring and predictable plot,2,Negative,135,0
87,116,Interstellar,Sci-Fi,Spanish,1998,83,Martin Scorsese,"Movie was okay, nothing special",2,Neutral,170,1
88,152,Titanic,Drama,English,2009,95,James Cameron,Average storyline but decent acting,3,Neutral,171,0
89,161,Parasite,Drama,Spanish,2012,98,Quentin Tarantino,"Outstanding movie, highly recommended",5,Positive,136,1
90,198,Avengers,Romance,French,2003,80,Steven Spielberg,Loved the acting and direction,4,Positive,100,1
91,161,The Dark Knight,Romance,French,2019,149,Quentin Tarantino,Not bad but could be better,2,Neutral,167,1
92,173,Avengers,Drama,Spanish,1996,120,Quentin Tarantino,"Outstanding movie, highly recommended",4,Positive,91,1
93,104,Avatar,Thriller,French,2005,92,Quentin Tarantino,Not bad but could be better,3,Neutral,156,0
94,152,Avatar,Action,Spanish,2020,113,Steven Spielberg,"Fantastic experience, would watch again",4,Positive,66,1
95,186,Forrest Gump,Sci-Fi,Korean,2015,171,Quentin Tarantino,Not bad but could be better,4,Neutral,114,0
96,180,Interstellar,Drama,English,2008,92,Christopher Nolan,Very boring and predictable plot,1,Negative,90,0
97,141,Inception,Romance,Korean,2006,135,James Cameron,"Outstanding movie, highly recommended",4,Positive,41,1
98,122,Titanic,Thriller,Spanish,2014,167,James Cameron,"Fantastic experience, would watch again",4,Positive,73,1
99,181,Interstellar,Sci-Fi,Korean,2016,81,Quentin Tarantino,Loved the acting and direction,4,Positive,148,1
100,144,Gladiator,Romance,Spanish,2017,112,Quentin Tarantino,Poor acting and weak storyline,1,Negative,143,0
